channel_id,talk_id,talk_user,mention_user,date
CHGBUNZRS,4a6850d0-79d9-4c3a-9793-e64ab9ffd050,UHG1M1NQ6,UHFLB6JPR,2020-02-06
CHGBUNZRS,3de8db2e-2c75-4819-817d-85c92a410e70,UHG1M1NQ6,UHFLB6JPR,2020-02-10
CHGBUNZRS,1e14dbc0-037a-4d65-a9c8-0b77f7a096c5,UHG1M1NQ6,UHFLB6JPR,2020-02-10
