channel_id,talk_id,talk_user,mention_user,date
CTQ3V3ACR,0a20a468-4ec7-4ec2-86a8-6941d0c121fc,UHFLB6JPR,UHG1M1NQ6,2020-02-26
CTQ3V3ACR,b921bd5c-b778-434b-a5ab-3523d8120fdd,UHFLB6JPR,UHV3GN694,2020-02-26
CTQ3V3ACR,75b37251-17d3-4ee6-b081-dc3e586cb2a3,UHFLB6JPR,UHG1M1NQ6,2020-02-26
CTQ3V3ACR,19c3caf0-5de1-4b5a-a92a-d052da9c6ceb,UHFLB6JPR,UHG1M1NQ6,2020-03-17
CTQ3V3ACR,19c3caf0-5de1-4b5a-a92a-d052da9c6ceb,UHFLB6JPR,UHC5VBV5E,2020-03-17
CTQ3V3ACR,19c3caf0-5de1-4b5a-a92a-d052da9c6ceb,UHFLB6JPR,UGQV9DXRC,2020-03-17
CTQ3V3ACR,19c3caf0-5de1-4b5a-a92a-d052da9c6ceb,UHFLB6JPR,UHV3GN694,2020-03-17
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UHEH8KZ7W,2020-03-13
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UHG1M1NQ6,2020-03-13
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UGQV9DXRC,2020-03-13
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UHC5VBV5E,2020-03-13
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UHV3GN694,2020-03-13
CTQ3V3ACR,7c5120f6-4f44-46e4-8514-d90d67aaea0c,UHFLB6JPR,UHG1M1NQ6,2020-02-13
CTQ3V3ACR,7c5120f6-4f44-46e4-8514-d90d67aaea0c,UHFLB6JPR,UHEH8KZ7W,2020-02-13
CTQ3V3ACR,7c5120f6-4f44-46e4-8514-d90d67aaea0c,UHFLB6JPR,UHC5VBV5E,2020-02-13
CTQ3V3ACR,7c5120f6-4f44-46e4-8514-d90d67aaea0c,UHFLB6JPR,UGQV9DXRC,2020-02-13
CTQ3V3ACR,7c5120f6-4f44-46e4-8514-d90d67aaea0c,UHFLB6JPR,UHV3GN694,2020-02-13
CTQ3V3ACR,5c34c091-42e9-4da2-9fa8-aeed3df2b5fc,UHFLB6JPR,UHG1M1NQ6,2020-03-03
CTQ3V3ACR,5c34c091-42e9-4da2-9fa8-aeed3df2b5fc,UHFLB6JPR,UGQV9DXRC,2020-03-03
CTQ3V3ACR,5c34c091-42e9-4da2-9fa8-aeed3df2b5fc,UHFLB6JPR,UHEH8KZ7W,2020-03-03
CTQ3V3ACR,5c34c091-42e9-4da2-9fa8-aeed3df2b5fc,UHFLB6JPR,UHC5VBV5E,2020-03-03
CTQ3V3ACR,5c34c091-42e9-4da2-9fa8-aeed3df2b5fc,UHFLB6JPR,UHV3GN694,2020-03-03
CTQ3V3ACR,ae812f0e-c307-4c49-9dc0-f04191939e44,UHFLB6JPR,UHV3GN694,2020-02-23
CTQ3V3ACR,ae812f0e-c307-4c49-9dc0-f04191939e44,UHFLB6JPR,UHC5VBV5E,2020-02-23
CTQ3V3ACR,ae812f0e-c307-4c49-9dc0-f04191939e44,UHFLB6JPR,UGQV9DXRC,2020-02-23
CTQ3V3ACR,ae812f0e-c307-4c49-9dc0-f04191939e44,UHFLB6JPR,UHEH8KZ7W,2020-02-23
CTQ3V3ACR,ae812f0e-c307-4c49-9dc0-f04191939e44,UHFLB6JPR,UHG1M1NQ6,2020-02-23
CTQ3V3ACR,f024de7c-2e4f-4ebd-a257-938f242bc490,UGQV9DXRC,UHEH8KZ7W,2020-02-23
CTQ3V3ACR,f024de7c-2e4f-4ebd-a257-938f242bc490,UGQV9DXRC,UHV3GN694,2020-02-23
CTQ3V3ACR,71039cff-4c05-442b-a130-9967da12a88d,UHEH8KZ7W,UGQV9DXRC,2020-02-23
CTQ3V3ACR,f70055c1-49e3-42df-ba66-5ba4c1f0b0ff,UGQV9DXRC,UHEH8KZ7W,2020-02-28
CTQ3V3ACR,a426e6ea-8228-4c51-87ec-2a620e7192b5,UHEH8KZ7W,UHFLB6JPR,2020-02-28
CTQ3V3ACR,59163b07-cb71-4af9-af32-ffa395844f49,UHEH8KZ7W,UHG1M1NQ6,2020-02-27
CTQ3V3ACR,59163b07-cb71-4af9-af32-ffa395844f49,UHEH8KZ7W,UHC5VBV5E,2020-02-27
CTQ3V3ACR,59163b07-cb71-4af9-af32-ffa395844f49,UHEH8KZ7W,UGQV9DXRC,2020-02-27
CTQ3V3ACR,59163b07-cb71-4af9-af32-ffa395844f49,UHEH8KZ7W,UHV3GN694,2020-02-27
CTQ3V3ACR,3194dfa7-8732-4d79-a998-c2da8f19c783,UHFLB6JPR,UHG1M1NQ6,2020-03-12
CTQ3V3ACR,3194dfa7-8732-4d79-a998-c2da8f19c783,UHFLB6JPR,UGQV9DXRC,2020-03-12
CTQ3V3ACR,3194dfa7-8732-4d79-a998-c2da8f19c783,UHFLB6JPR,UHEH8KZ7W,2020-03-12
CTQ3V3ACR,3194dfa7-8732-4d79-a998-c2da8f19c783,UHFLB6JPR,UHC5VBV5E,2020-03-12
CTQ3V3ACR,3194dfa7-8732-4d79-a998-c2da8f19c783,UHFLB6JPR,UHV3GN694,2020-03-12
CTQ3V3ACR,457d5bfe-1fd6-4b4f-956a-ef40f86cf63e,UHFLB6JPR,UHEH8KZ7W,2020-02-19
CTQ3V3ACR,457d5bfe-1fd6-4b4f-956a-ef40f86cf63e,UHFLB6JPR,UGQV9DXRC,2020-02-19
CTQ3V3ACR,457d5bfe-1fd6-4b4f-956a-ef40f86cf63e,UHFLB6JPR,UHC5VBV5E,2020-02-19
CTQ3V3ACR,457d5bfe-1fd6-4b4f-956a-ef40f86cf63e,UHFLB6JPR,UHG1M1NQ6,2020-02-19
CTQ3V3ACR,457d5bfe-1fd6-4b4f-956a-ef40f86cf63e,UHFLB6JPR,UHV3GN694,2020-02-19
CTQ3V3ACR,3e254ae4-6731-4004-ab48-9da5950efb03,UHFLB6JPR,UHV3GN694,2020-02-19
CTQ3V3ACR,8d5a3a25-9bd4-4edf-acb5-23b96da5e849,UHFLB6JPR,UHG1M1NQ6,2020-02-19
CTQ3V3ACR,8d5a3a25-9bd4-4edf-acb5-23b96da5e849,UHFLB6JPR,UHEH8KZ7W,2020-02-19
CTQ3V3ACR,8385932a-5fe5-4b35-8df1-180190c26e0d,UHFLB6JPR,UHEH8KZ7W,2020-02-25
CTQ3V3ACR,8385932a-5fe5-4b35-8df1-180190c26e0d,UHFLB6JPR,UGQV9DXRC,2020-02-25
CTQ3V3ACR,8385932a-5fe5-4b35-8df1-180190c26e0d,UHFLB6JPR,UHG1M1NQ6,2020-02-25
CTQ3V3ACR,8385932a-5fe5-4b35-8df1-180190c26e0d,UHFLB6JPR,UHC5VBV5E,2020-02-25
CTQ3V3ACR,8385932a-5fe5-4b35-8df1-180190c26e0d,UHFLB6JPR,UHV3GN694,2020-02-25
CTQ3V3ACR,73eb76ec-8735-40ec-8b82-6a6f653f6d7a,UGQV9DXRC,UHEH8KZ7W,2020-02-25
